      Lattice  Optimization  Initial_spin_angle    Qx    Qy  Ray  Spin_rotation_per_turn_(deg)  Max_|dθ|_element  vector      x0   y0     d0
--------------------------------------------------------------------------------------------------------------------------------------------
ELECTROSTATIC            BC                   0  0.12  0.72  Ref         5.054120298458375e-05               185     Ref     nan  nan    nan
ELECTROSTATIC            BC                   0  0.12  0.72    2         -0.001800480337407072                 1       2   0.001  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    3        -0.0027371660655766284                 1       3  0.0015  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    4        -0.0036812973810407996                 1       4   0.002  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    5           -0.0046328708463298                 1       5  0.0025  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    6         -0.005591883596944033                 1       6   0.003  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    7         -0.006558332768396551                 1       7  0.0035  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    8         -0.007532212058466457                 1       8   0.004  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    9          -0.00851352261339729                 1       9  0.0045  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72   10           -0.2874586008367101               486      10     0.0  0.0  0.001


================================================================================
Contribution of element types to spin rotation
================================================================================


Ray 1
Element  Count         Total_rotation     Total_abs_rotation       Mean_abs_rotation       Max_abs_rotation
     Ld     50    0.0002908201950567405      0.3620153908198665     0.00724030781639733    0.012413583352887714
     Lf     50   -0.0001713721923170099     0.18686830660215736   0.0037373661320431475    0.006430539028706038
    Lds     10     -0.01118778900107829     0.08697644760123184    0.008697644760123184    0.013444311176550532
    Lfs     10     0.006522497926264713    0.041456232962709776   0.0041456232962709776    0.006053724779086105
     R1     50    5.097141283095689e-05  0.00045118471381899754    9.02369427637995e-06  1.6564209058692395e-05
    SFN      5   -0.0001769981185457811   0.0001769981185457811   3.539962370915622e-05   6.374155281842556e-05
    SDP     10    0.0001403666362888202   0.0001403666362888202   1.403666362888202e-05  2.8407247048505176e-05
    SFP     10  -0.00010136768968473531  0.00010136768968473531  1.0136768968473531e-05  2.2081792422327592e-05
    OD1    120                      0.0                     0.0                     0.0                     0.0
    BPM     35                      0.0                     0.0                     0.0                     0.0
   OSFP     30                      0.0                     0.0                     0.0                     0.0
   OSDP     30                      0.0                     0.0                     0.0                     0.0
    OR1     10                      0.0                     0.0                     0.0                     0.0
    OD2    120                      0.0                     0.0                     0.0                     0.0


Ray 6
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
     Ld     50   0.00041491958395270014      0.4343789569130628    0.008687579138261256    0.014894956504540308
     Lf     50  -0.00024508922919549113     0.22421440889426236    0.004484288177885248    0.007715703937472941
